Brand,Description,Size,Class,ClassName,ClassCategoryNumber
1009,Rebel Yell Variety Pack,750mL 3 Pk,100,AMERICAN WHISKEY,1
1074,Brothership Whiskey,750mL,100,AMERICAN WHISKEY,1
1115,Old Camp Pecan Peach Whiskey,100mL,100,AMERICAN WHISKEY,1
1187,Knob Creek Rye Whiskey,375mL,100,AMERICAN WHISKEY,1
1192,Rebel Yell Bourbon,750mL,100,AMERICAN WHISKEY,1
1196,Midnight Moon Whiskey,750mL,100,AMERICAN WHISKEY,1
1202,Ransom Rye Barley Wheat Wsky,750mL,100,AMERICAN WHISKEY,1
1207,High West Midwinter Dram Wsk,750mL,100,AMERICAN WHISKEY,1
1411,Jim Beam Apple Whiskey,50mL,100,AMERICAN WHISKEY,1
1464,Tin Cup Whiskey,750mL,100,AMERICAN WHISKEY,1
1510,Tim Smith's Climax Moonshine,750mL,100,AMERICAN WHISKEY,1
1536,Knob Creek 25th Bourbon Wsky,750mL,100,AMERICAN WHISKEY,1
1542,Bowen's American Whiskey,750mL,100,AMERICAN WHISKEY,1
1546,High West Yippee Ki-Yay Wsky,750mL,100,AMERICAN WHISKEY,1
1548,Tim Smiths Climax Wood Wsky,750mL,100,AMERICAN WHISKEY,1
1593,Tin Cup 10Yr Whiskey,750mL,100,AMERICAN WHISKEY,1
1609,CALI Whiskey,750mL,100,AMERICAN WHISKEY,1
1614,Knob Creek Single Barrel Rsv,750mL,100,AMERICAN WHISKEY,1
1643,Tamworth William Whipple Wsk,750mL,100,AMERICAN WHISKEY,1
1689,High West APB Brld Boulevard,750mL,100,AMERICAN WHISKEY,1
1716,SILO Maple Whiskey,750mL,100,AMERICAN WHISKEY,1
1786,Jim Beam Vanilla,50mL,100,AMERICAN WHISKEY,1
1855,Westland Sherry Wood Oak Wsk,750mL,100,AMERICAN WHISKEY,1
1857,Westland Peated Oak Whiskey,750mL,100,AMERICAN WHISKEY,1
1871,Spirit of Boston Merry Maker,375mL,100,AMERICAN WHISKEY,1
1872,Spirit of Boston Dbl Black,375mL,100,AMERICAN WHISKEY,1
1873,Spirit of Boston New World T,375mL,100,AMERICAN WHISKEY,1
1965,High West Prairie Brl 6114,750mL,100,AMERICAN WHISKEY,1
1966,High West Prairie Brl 6115,750mL,100,AMERICAN WHISKEY,1
2044,Silo Aisling Whiskey,750mL,100,AMERICAN WHISKEY,1
2055,Silo Solstice Whiskey,750mL,100,AMERICAN WHISKEY,1
2130,Bully Boy American Whiskey,750mL,100,AMERICAN WHISKEY,1
2174,Virginia Black Whiskey,750mL,100,AMERICAN WHISKEY,1
2191,Clark & Chesterfield Whiskey,375mL,100,AMERICAN WHISKEY,1
2239,Rebel Yell American Whisky,750mL,100,AMERICAN WHISKEY,1
