Brand,Description,Size,PurchasePrice,VendorNumber,VendorName
45,Soho Lychee,750mL,14.38,8004,SAZERAC CO INC
58,Gekkeikan Black & Gold Sake,750mL,9.28,8320,SHAW ROSS INT L IMP LTD
61,Margaritaville Silver,750mL,10.6,8004,SAZERAC CO INC
62,Herradura Silver Tequila,750mL,28.67,1128,BROWN-FORMAN CORP
63,Herradura Reposado Tequila,750mL,30.46,1128,BROWN-FORMAN CORP
64,El Tesoro Paradiso Gold,750mL,131.38,12546,JIM BEAM BRANDS COMPANY
68,Luxardo Triplum Triple Sec,750mL,19.52,9165,ULTRA BEVERAGE COMPANY LLP
70,Luxardo Amaretto di Saschira,750mL,18.79,9165,ULTRA BEVERAGE COMPANY LLP
77,Three Olives Espresso Vodka,750mL,10.39,7245,PROXIMO SPIRITS INC.
82,Hundred Acre Ark Vy Cab Svgn,750mL,383.55,4425,MARTIGNETTI COMPANIES
100,Chivas Royal Salute,750mL,120.29,17035,PERNOD RICARD USA
101,Absente Glass & Spoon Pack,750mL,31.99,6213,MHW LTD
103,Mr Boston Apricot Brandy,1000mL,6.42,660,SAZERAC NORTH AMERICA INC.
104,Mr Boston Wild Cherry Brandy,1000mL,6.42,660,SAZERAC NORTH AMERICA INC.
105,Mr Boston Butterscotch,1000mL,3.45,660,SAZERAC NORTH AMERICA INC.
106,Mr Boston Peach Schnapps,1000mL,3.4,660,SAZERAC NORTH AMERICA INC.
107,Mr Boston Melon Liqueur,1000mL,5.11,660,SAZERAC NORTH AMERICA INC.
108,Mr Boston Peppermint Schnaps,1000mL,4.77,660,SAZERAC NORTH AMERICA INC.
109,Mr Boston Blue Curacao,1000mL,4.95,660,SAZERAC NORTH AMERICA INC.
110,Mr Boston Creme de Menthe-Wh,1000mL,4.84,660,SAZERAC NORTH AMERICA INC.
111,Mr Boston Creme de Menthe Gr,1000mL,4.7,660,SAZERAC NORTH AMERICA INC.
112,Mr Boston Cr de Cacao White,1000mL,4.7,660,SAZERAC NORTH AMERICA INC.
113,Mr Boston Cr de Cacao Brown,1000mL,4.84,660,SAZERAC NORTH AMERICA INC.
114,Mr Boston Creme de Banana,1000mL,5.11,660,SAZERAC NORTH AMERICA INC.
115,Belvedere Vodka,1000mL,21.37,8112,MOET HENNESSY USA INC
123,Old Rip Van Winkle 10yr Brbn,750mL,62.01,8004,SAZERAC CO INC
124,Torada White Tequila,1000mL,7.02,8004,SAZERAC CO INC
126,Grey Goose Vodka,1000mL,20.14,480,BACARDI USA INC
129,Grey Goose L'Orange Vodka,1000mL,24.99,480,BACARDI USA INC
137,Twisted Shotz Sex Beach,100mL,4.61,9165,ULTRA BEVERAGE COMPANY LLP
143,Chivas Regal,1000mL,29.59,17035,PERNOD RICARD USA
151,Pirassununga Cachaca 51 Rum,1000mL,11.5,8004,SAZERAC CO INC
158,Pappy Van Winkle 15 Yr Old,750mL,104.47,8004,SAZERAC CO INC
162,Stoli Vanil Vodka,1000mL,17.85,8664,"STOLI GROUP,(USA) LLC      "
169,Twisted Shotz Multi Pack,375mL,13.27,9165,ULTRA BEVERAGE COMPANY LLP
171,Gentleman Jack,1750mL,36.76,1128,BROWN-FORMAN CORP
175,1800 Anejo Tequila,750mL,26.8,7245,PROXIMO SPIRITS INC.
178,W Turkey Russell's RSV 10 Yr,750mL,25.38,11567,CAMPARI AMERICA
181,J & B Scotch,1000mL,18.65,3960,DIAGEO NORTH AMERICA INC
190,Christian Bros Ruby Port,750mL,3.06,3924,HEAVEN HILL DISTILLERIES
192,Milagro Anejo Tequila,750mL,27.68,3664,WILLIAM GRANT & SONS INC
200,Luxardo Maraschino Liqueur,750mL,23.43,9165,ULTRA BEVERAGE COMPANY LLP
202,Ketel One Citroen Vodka,1000mL,22.3,3960,DIAGEO NORTH AMERICA INC
203,Jose Cuervo Especial Silver,1000mL,15.78,7245,PROXIMO SPIRITS INC.
211,Cold River Gin,750mL,19.83,4425,MARTIGNETTI COMPANIES
213,Stoli Blueberi Vodka,1000mL,18.11,8664,"STOLI GROUP,(USA) LLC      "
216,Absolut Raspberri,1000mL,15.62,17035,PERNOD RICARD USA
217,Absolut Vanilia,1000mL,14.7,17035,PERNOD RICARD USA
222,Wray & Nephew Wh Overproof,750mL,15.99,11567,CAMPARI AMERICA
226,DeKuyper Red Apple Schnapps,750mL,8.08,12546,JIM BEAM BRANDS COMPANY
233,Tullamore Dew 12 Yr Old,750mL,30.21,3664,WILLIAM GRANT & SONS INC
234,Allen's Ginger Brandy,1750mL,11.47,9552,M S WALKER INC
236,Loukatos Mastic Liqueur,750mL,13.23,12331,STELLAR IMPORTING CO LLC
247,Gran Patron Platinum Tequil,750mL,156.24,9165,ULTRA BEVERAGE COMPANY LLP
249,Massenez Creme de Cassis,750mL,16.29,9552,M S WALKER INC
253,Poland Spring Vodka,1000mL,4.6,9552,M S WALKER INC
254,DeKuyper Root Beer Schnapps,1000mL,8.79,12546,JIM BEAM BRANDS COMPANY
260,Bride Of The Fox Sake,720mL,21.42,653,STATE WINE & SPIRITS
261,Svedka Citron Vodka,1000mL,9.99,1392,CONSTELLATION BRANDS INC
263,Loukatos Tentoura,750mL,13.53,12331,STELLAR IMPORTING CO LLC
267,Don Q Coco Coconut Rum,1000mL,10.39,98450,Serralles Usa LLC
269,Juarez Triple Sec,1000mL,3.17,8352,LUXCO INC
272,Juarez Silver Tequila,1000mL,7.4,8352,LUXCO INC
273,Sauza Extra Gold Tequila,1750mL,17.31,12546,JIM BEAM BRANDS COMPANY
277,Smirnoff Lime Vodka,1000mL,10.35,3960,DIAGEO NORTH AMERICA INC
278,Cazadores Reposado Tequila,1000mL,20.71,480,BACARDI USA INC
279,Rumhaven Coconut Rum,1000mL,11.1,3252,E & J GALLO WINERY
284,Milagro Tequila Anejo SBR,750mL,53.43,3664,WILLIAM GRANT & SONS INC
287,The Bitter Truth Falernum,750mL,25.36,4425,MARTIGNETTI COMPANIES
290,Aberlour A'Bunadh Sngle Malt,750mL,39.05,17035,PERNOD RICARD USA
294,Old Mexico Gold Tequila,1000mL,6.79,9552,M S WALKER INC
298,Old Mexico Blanco Tequila,1000mL,6.06,9552,M S WALKER INC
305,Crown Royal Canadian Whisky,1000mL,22.21,3960,DIAGEO NORTH AMERICA INC
308,Barsol Primero Quebranta Pso,750mL,15.62,9165,ULTRA BEVERAGE COMPANY LLP
310,Triple Eight Blueberry Vodka,750mL,23.18,4425,MARTIGNETTI COMPANIES
313,Rothman & Winter Violette,750mL,17.45,653,STATE WINE & SPIRITS
319,Peter Paul Bacigalupi Chard,750mL,25.17,10754,PERFECTA WINES
323,Tequila Rose Strawberry VAP,750mL,13.63,5992,MCCORMICK DISTILLING CO
324,Rothman & Winter Apricot,750mL,17.05,653,STATE WINE & SPIRITS
327,Capt Morgan Spiced Rum 100,1000mL,16.42,3960,DIAGEO NORTH AMERICA INC
336,Bols Genever Amsterdam,750mL,25.18,6213,MHW LTD
344,Punt e Mes Sweet Vermouth,750mL,15.74,9165,ULTRA BEVERAGE COMPANY LLP
349,Fernet-Branca Menta,750mL,23.61,9165,ULTRA BEVERAGE COMPANY LLP
351,Rittenhouse Rye Bonded Whsky,750mL,22.13,3924,HEAVEN HILL DISTILLERIES
356,Carolans Irish Cr Gift Set,750mL,10.36,11567,CAMPARI AMERICA
361,Effen Cucumber Vodka,750mL,14.28,12546,JIM BEAM BRANDS COMPANY
366,Crown Royal w/2 Glasses VAP,750mL,22.21,3960,DIAGEO NORTH AMERICA INC
370,Finlandia Vodka,1000mL,10.36,1128,BROWN-FORMAN CORP
373,Fernet Branca Borghetti Cafe,750mL,16.27,9165,ULTRA BEVERAGE COMPANY LLP
376,Aperol Liqueur,750mL,18.97,11567,CAMPARI AMERICA
377,Hendrick's Gin,1000mL,28.35,3664,WILLIAM GRANT & SONS INC
382,McCormick Irish Cream Liquer,1000mL,7.77,5992,MCCORMICK DISTILLING CO
384,Ardbeg Corryvreckan Scotch,750mL,54.68,8112,MOET HENNESSY USA INC
388,Smirnoff 80 Proof,1000mL,11.41,3960,DIAGEO NORTH AMERICA INC
405,Jack Daniel's & Coke,1750mL,30.88,1128,BROWN-FORMAN CORP
408,Wild Turkey American Honey,750mL,12.97,11567,CAMPARI AMERICA
415,Jose Cuervo Especial,1000mL,13.04,7245,PROXIMO SPIRITS INC.
418,Darioush Chard,750mL,32.25,17033,SEA BREEZE CELLARS LLC
